Wavelength,1 blue,2 green,3 red,4 NIR,5 SWIR,7 SWIR,8 PAN
762,,,,0.099,,,0.88
763,,,,0.121,,,0.8825
764,,,,0.146,,,0.885
765,,,,0.175,,,0.8865
766,,,,0.209,,,0.888
767,,,,0.248,,,0.89
768,,,,0.294,,,0.892
769,,,,0.346,,,0.8925
770,,,,0.402,,,0.893
771,,,,0.463,,,0.8975
772,,,,0.523,,,0.902
773,,,,0.588,,,0.905
774,,,,0.649,,,0.908
775,,,,0.705,,,0.9105
776,,,,0.757,,,0.913
777,,,,0.797,,,0.9165
778,,,,0.827,,,0.92
779,,,,0.853,,,0.92
780,,,,0.871,,,0.92
781,,,,0.884,,,0.919
782,,,,0.892,,,0.918
783,,,,0.899,,,0.917
784,,,,0.903,,,0.916
785,,,,0.908,,,0.916
786,,,,0.911,,,0.916
787,,,,0.916,,,0.9175
788,,,,0.92,,,0.919
789,,,,0.925,,,0.9185
790,,,,0.926,,,0.918
791,,,,0.927,,,0.9175
792,,,,0.927,,,0.917
793,,,,0.929,,,0.9165
794,,,,0.932,,,0.916
795,,,,0.93,,,0.9155
796,,,,0.926,,,0.915
797,,,,0.926,,,0.9165
798,,,,0.925,,,0.918
799,,,,0.928,,,0.9225
800,,,,0.925,,,0.927
801,,,,0.926,,,0.9275
802,,,,0.928,,,0.928
803,,,,0.928,,,0.93
804,,,,0.928,,,0.932
805,,,,0.923,,,0.9375
806,,,,0.92,,,0.943
807,,,,0.919,,,0.9475
808,,,,0.914,,,0.952
809,,,,0.91,,,0.9545
810,,,,0.908,,,0.957
811,,,,0.905,,,0.9595
812,,,,0.903,,,0.962
813,,,,0.904,,,0.9655
814,,,,0.902,,,0.969
815,,,,0.909,,,0.9695
816,,,,0.917,,,0.97
817,,,,0.92,,,0.971
818,,,,0.928,,,0.972
819,,,,0.938,,,0.9745
820,,,,0.946,,,0.977
821,,,,0.953,,,0.978
822,,,,0.962,,,0.979
823,,,,0.969,,,0.98
824,,,,0.971,,,0.981
825,,,,0.971,,,0.984
826,,,,0.97,,,0.987
827,,,,0.969,,,0.9895
828,,,,0.969,,,0.992
829,,,,0.97,,,0.9945
830,,,,0.967,,,0.997
831,,,,0.969,,,0.9975
832,,,,0.968,,,0.998
833,,,,0.963,,,0.999
834,,,,0.965,,,1
835,,,,0.967,,,0.998
836,,,,0.965,,,0.996
837,,,,0.963,,,0.9955
838,,,,0.958,,,0.995
839,,,,0.95,,,0.9945
840,,,,0.949,,,0.994
841,,,,0.943,,,0.993
842,,,,0.933,,,0.992
843,,,,0.929,,,0.992
844,,,,0.928,,,0.992
845,,,,0.925,,,0.993
846,,,,0.924,,,0.994
847,,,,0.927,,,0.993
848,,,,0.932,,,0.992
849,,,,0.934,,,0.9895
850,,,,0.943,,,0.987
851,,,,0.952,,,0.9825
852,,,,0.956,,,0.978
853,,,,0.966,,,0.973
854,,,,0.977,,,0.968
855,,,,0.985,,,0.965
856,,,,0.99,,,0.962
857,,,,0.992,,,0.9595
858,,,,0.993,,,0.957
859,,,,0.994,,,0.953
860,,,,0.998,,,0.949
861,,,,0.996,,,0.943
862,,,,0.992,,,0.937
863,,,,0.991,,,0.9325
864,,,,0.992,,,0.928
865,,,,0.994,,,0.924
866,,,,0.993,,,0.92
867,,,,0.997,,,0.9155
868,,,,0.997,,,0.911
869,,,,0.996,,,0.909
870,,,,0.998,,,0.907
871,,,,0.999,,,0.906
872,,,,1,,,0.905
873,,,,0.999,,,0.9055
874,,,,0.996,,,0.906
875,,,,0.991,,,0.9085
876,,,,0.99,,,0.911
877,,,,0.991,,,0.9165
878,,,,0.985,,,0.922
879,,,,0.978,,,0.931
880,,,,0.969,,,0.94
881,,,,0.955,,,0.951
882,,,,0.937,,,0.962
883,,,,0.916,,,0.9695
884,,,,0.892,,,0.977
885,,,,0.868,,,0.978
886,,,,0.845,,,0.979
887,,,,0.824,,,0.968
888,,,,0.811,,,0.957
889,,,,0.807,,,0.926
890,,,,0.819,,,0.895
891,,,,0.841,,,0.841
892,,,,0.868,,,0.787
893,,,,0.892,,,0.717
894,,,,0.892,,,0.647
895,,,,0.854,,,0.5715
896,,,,0.77,,,0.496
897,,,,0.644,,,0.4295
898,,,,0.501,,,0.363
899,,,,0.365,,,0.3105
900,,,,0.256,,,0.258
901,,,,0.177,,,0.2195
902,,,,0.122,,,0.181
903,,,,0.085,,,0.154
904,,,,0.061,,,0.127
905,,,,0.044,,,0.108
906,,,,0.032,,,0.089
907,,,,0.025,,,0.0755
908,,,,0.019,,,0.062
909,,,,0.014,,,0.053
