nm_Band,Panchromatic,Coastal Blue,Blue,Green,Yellow,Red,Red Edge,NIR1,NIR2
402,3.681547E-06,0.56306531,2.4992366E-06,4.8792938E-07,7.9066967E-08,3.0111165E-07,8.5901133E-07,3.8089E-11,1.4131493E-07
403,3.542732E-06,0.6220937,2.3033997E-06,4.818233E-07,5.9931642E-08,3.0056695E-07,1.4173756E-06,5.4872372E-08,1.4309339E-07
404,3.4026062E-06,0.68161875,2.1156768E-06,4.7640166E-07,4.0355178E-08,3.0000893E-07,1.9805653E-06,1.1035762E-07,1.4488327E-07
405,3.2667679E-06,0.70071904,1.654245E-06,4.953566E-07,3.1332756E-08,2.873796E-07,1.640783E-06,1.0437274E-07,1.778401E-07
406,3.450752E-06,0.7200551,1.1852618E-06,5.1532894E-07,2.2232041E-08,2.7388833E-07,1.2953978E-06,9.8281639E-08,2.1130672E-07
407,3.6339465E-06,0.73305532,1.0740407E-06,5.013538E-07,8.0344234E-08,3.3739779E-07,1.0973991E-06,9.7745022E-08,2.2393268E-07
408,3.8199106E-06,0.74619441,9.5665157E-07,4.8707288E-07,1.3883091E-07,4.0197938E-07,8.9579706E-07,9.6482881E-08,2.3554483E-07
409,4.0058216E-06,0.75571345,1.7587667E-06,5.0422029E-07,1.5672794E-07,4.0774909E-07,9.4008829E-07,9.6383523E-08,3.1968989E-07
410,4.1873293E-06,0.7653071,2.5667821E-06,5.2076739E-07,1.7484186E-07,4.1356706E-07,9.7840334E-07,9.6277066E-08,4.0488001E-07
411,4.5873638E-06,0.77339758,3.8683688E-06,4.5955348E-07,1.8806882E-07,3.8964735E-07,1.051811E-06,1.3863488E-07,3.1132484E-07
412,4.982438E-06,0.78151302,5.1752037E-06,3.9808619E-07,2.0134759E-07,3.6497358E-07,1.1255061E-06,1.8116337E-07,2.1861458E-07
413,5.4181191E-06,0.79417047,7.1340316E-06,3.8218851E-07,1.8419172E-07,3.5475472E-07,9.9686227E-07,1.696319E-07,2.1294987E-07
414,5.8602883E-06,0.80695129,9.1237908E-06,3.6599478E-07,1.6673972E-07,3.4499788E-07,8.6603716E-07,1.578967E-07,2.0841984E-07
415,6.2917015E-06,0.817088,1.348131E-05,3.5903507E-07,1.3467539E-07,6.229121E-07,8.7721485E-07,8.6310205E-08,1.5807382E-07
416,5.7269991E-06,0.82729741,1.7926625E-05,3.5198768E-07,1.0153374E-07,9.050541E-07,8.8847367E-07,1.4190521E-08,1.0719369E-07
417,5.1432546E-06,0.83488083,2.4287438E-05,4.692239E-07,1.6230075E-07,6.8565796E-07,1.6075731E-06,5.0353342E-08,1.3530088E-07
418,4.5563018E-06,0.84249414,3.078944E-05,5.8626943E-07,2.2339263E-07,4.610282E-07,2.3372372E-06,8.6488329E-08,1.6482544E-07
419,3.9754065E-06,0.85210484,3.601153E-05,4.6219228E-07,2.1261953E-07,3.7324862E-07,1.7414799E-06,9.0637245E-08,1.1850565E-07
420,3.3953382E-06,0.86178001,4.117641E-05,3.3767368E-07,2.0247723E-07,2.8525313E-07,1.1464503E-06,9.4077807E-08,7.1843712E-08
421,4.4614461E-06,0.8703355,4.5458544E-05,4.2734463E-07,1.9421422E-07,3.0337075E-07,1.0893386E-06,7.2613065E-08,1.1644704E-07
422,5.5352128E-06,0.87893544,4.9770878E-05,5.1848829E-07,1.8663976E-07,3.216139E-07,1.0249564E-06,5.0614772E-08,1.6124323E-07
423,6.6215173E-06,0.88808986,5.3276261E-05,4.5908969E-07,3.3560039E-07,2.8995531E-07,7.4118203E-07,5.242141E-08,2.1635899E-07
424,7.6893946E-06,0.89729882,5.6920787E-05,3.9916017E-07,4.8585015E-07,2.5801247E-07,4.5284479E-07,5.4242307E-08,2.7064792E-07
425,8.8388994E-06,0.90505522,7.0128558E-05,3.7412276E-07,3.3329524E-07,2.8493186E-07,7.4095714E-07,1.0213209E-07,2.3008025E-07
426,9.5094187E-06,0.91285463,8.3346526E-05,3.4883878E-07,1.8006783E-07,3.113957E-07,1.0366118E-06,1.5008389E-07,1.8912535E-07
427,1.0164798E-05,0.91566507,0.0001165842,3.6243838E-07,2.1433257E-07,2.8629698E-07,1.0323033E-06,1.4509602E-07,1.7249411E-07
428,1.0823427E-05,0.91847884,0.00014995238,3.7610356E-07,2.4877102E-07,2.6036384E-07,1.0209671E-06,1.4008073E-07,1.5577518E-07
429,1.1444277E-05,0.92283931,0.00024320981,3.4817146E-07,2.5392204E-07,2.8780359E-07,5.3349453E-06,1.1062985E-07,1.4198071E-07
430,1.2142077E-05,0.92720806,0.00033741865,3.2079541E-07,2.5833793E-07,3.1480567E-07,9.6790401E-06,8.0871065E-08,1.276383E-07
431,2.7187372E-05,0.9355417,0.00054868134,3.4479574E-07,3.2217561E-07,3.3916567E-07,3.784289E-05,1.5550998E-07,1.7424399E-07
432,4.2309152E-05,0.94392361,0.00076201998,3.6902141E-07,3.8663451E-07,3.6303873E-07,6.6284634E-05,2.3166865E-07,2.222483E-07
433,5.7488382E-05,0.9513918,0.0011538332,4.6093987E-07,3.7799368E-07,2.8917306E-07,3.5535409E-05,2.022489E-07,1.7277156E-07
434,7.2730559E-05,0.95888196,0.0015472733,5.5410827E-07,3.6931301E-07,2.1499553E-07,4.6285281E-06,1.7270408E-07,1.2443873E-07
435,8.8108926E-05,0.96508815,0.0022771204,4.6150392E-07,4.2974725E-07,1.6225769E-07,2.507843E-06,1.0360824E-07,1.1367797E-07
436,0.00016152026,0.97131689,0.0030111925,3.6922768E-07,4.8973428E-07,1.0920984E-07,3.7330752E-07,3.4345748E-08,1.028528E-07
437,0.00023523949,0.97663674,0.0046231026,3.2012364E-07,4.3123868E-07,1.6529616E-07,3.5686751E-07,7.2991257E-08,5.5095837E-07
438,0.00030931071,0.98197142,0.0062427159,2.7077988E-07,3.7165942E-07,2.2165042E-07,3.4034449E-07,1.1158273E-07,1.0020334E-06
439,0.00038432929,0.98395,0.01298592,2.224221E-07,6.9901288E-07,2.5025026E-07,5.8377853E-07,8.481771E-07,1.093826E-06
440,0.00045993191,0.98592107,0.019782129,1.7456287E-07,1.0289379E-06,2.7907033E-07,8.3204284E-07,1.5986081E-06,1.1876965E-06
441,0.00095130268,0.98662833,0.038890946,2.2537679E-07,3.1274701E-06,1.9808153E-07,1.5481973E-05,4.780944E-06,6.7041939E-07
442,0.0014530544,0.98730112,0.058201572,2.776177E-07,5.256338E-06,1.1548168E-07,3.0242974E-05,8.0050796E-06,1.4760595E-07
443,0.0019446055,0.99088697,0.10544424,3.7656432E-07,4.7500291E-06,2.7569942E-07,1.757608E-05,4.2347803E-06,1.4777749E-07
444,0.0024447126,0.99447355,0.15279567,4.7483993E-07,4.2425095E-06,4.3554466E-07,4.9314266E-06,4.52449E-07,1.479483E-07
445,0.0029514707,0.99723579,0.2452001,5.3389719E-07,3.2343847E-06,3.780678E-07,2.5881149E-06,3.6893059E-07,2.1279385E-07
446,0.023997017,1,0.33816011,5.9330397E-07,2.2119189E-06,3.2023752E-07,2.2983997E-07,2.8490129E-07,2.7802869E-07
447,0.045203756,0.98313502,0.44793846,4.3629753E-07,1.5305382E-06,2.5342965E-07,2.3235566E-07,1.5706316E-07,1.3511879E-06
448,0.066597859,0.96609091,0.55868039,2.7788113E-07,8.4304923E-07,1.8601981E-07,2.3488687E-07,2.7752479E-08,2.4366896E-06
449,0.08765155,0.91012272,0.6296967,4.2169965E-07,6.9307505E-07,2.4974241E-07,2.1652544E-07,2.0439087E-07,1.8308953E-06
450,0.1097664,0.85393995,0.70097007,5.6604601E-07,5.3839291E-07,3.1369834E-07,1.9809432E-07,3.8134864E-07,1.2200031E-06
451,0.17362635,0.75346182,0.72655887,6.1455722E-07,4.2872919E-07,2.9374776E-07,2.662991E-07,3.1219859E-07,1.0068662E-06
452,0.23844389,0.65266381,0.75222197,6.6321523E-07,3.1871941E-07,2.744908E-07,3.3395938E-07,2.4199839E-07,7.9305541E-07
453,0.30424356,0.52339927,0.76298708,5.4621402E-07,3.7017358E-07,2.7181874E-07,2.3746941E-07,2.8725651E-07,8.6365045E-07
454,0.36981445,0.3930513,0.77382175,4.2730539E-07,4.2288324E-07,2.6988213E-07,1.4017463E-07,3.328819E-07,9.3480773E-07
455,0.4361629,0.28157711,0.77825492,4.5823366E-07,3.9298002E-07,3.0517303E-07,1.2759442E-07,3.2712439E-07,5.6684607E-07
456,0.44590289,0.16944902,0.78270319,4.8840564E-07,3.62897E-07,3.4066548E-07,1.1493911E-07,3.2217217E-07,1.9528446E-07
457,0.45648778,0.11034867,0.78664791,5.0563143E-07,3.527148E-07,2.4722354E-07,1.5396499E-07,2.7791624E-07,1.685805E-07
458,0.46715647,0.050694291,0.79060387,5.2300127E-07,3.4242633E-07,1.5290328E-07,1.9257596E-07,2.3323912E-07,1.4264438E-07
459,0.47731439,0.029890841,0.79529316,1.4132013E-06,5.3332371E-07,1.0046285E-06,1.8701868E-07,2.6050489E-07,9.0973918E-08
460,0.48753262,0.0089461483,0.80000019,2.3065619E-06,7.2550296E-07,1.8675671E-06,1.8219914E-07,2.8709351E-07,3.8952353E-08
461,0.49053198,0.0052761112,0.80013379,3.1092478E-06,7.2102277E-07,3.0779297E-06,1.6736054E-07,3.4185003E-07,1.9544458E-08
462,0.49274231,0.0016080123,0.80025873,3.9209116E-06,7.1653727E-07,4.2797909E-06,1.5175002E-07,3.9657308E-07,1.11211E-10
